time_step_counter,season_counter,dap,Wr,z_gw,surface_storage,IrrDay,Infl,Runoff,DeepPerc,CR,GwIn,Es,EsPot,Tr,TrPot
33.0,0.0,34.0,180.92,,0.0,0.0,2.8,0.0,0.12817842236219662,0.0,0.0,1.0914317782602483,1.0914317782602483,0.4485682217397517,0.44856822173975164
34.0,0.0,35.0,224.82999999999996,,0.0,0.0,43.39117553672179,20.308824463278217,0.3540863290893051,0.0,0.0,0.9183964405475986,0.9183964405475986,0.4016035594524014,0.4016035594524014
35.0,0.0,36.0,202.39999999999998,,0.0,0.0,16.7816096201001,1.3183903798999033,37.67372049926948,0.0,0.0,1.0507354280208625,1.0507354280208625,0.4892645719791375,0.4892645719791375
36.0,0.0,37.0,190.79000000000002,,0.0,0.0,1.0,0.0,16.55437778972292,0.0,0.0,1.1027515230051046,1.1027515230051046,0.5472484769948956,0.5472484769948956
37.0,0.0,38.0,189.29000000000002,,0.0,0.0,0.0,0.0,2.807231922023718,0.0,0.0,1.076018225221004,1.2946445551171057,0.6853554448828945,0.6853554448828945
38.0,0.0,39.0,191.8,,0.0,0.0,0.0,0.0,0.32957766659684434,0.0,0.0,0.8918488234867927,1.405507045975814,0.794492954024186,0.794492954024186
39.0,0.0,40.0,192.28,,0.0,0.0,0.0,0.0,0.03259333776042908,0.0,0.0,0.7693451968765532,1.5770608891466582,0.9529391108533418,0.9529391108533417
40.0,0.0,41.0,193.31,,0.0,0.0,0.0,0.0,0.00304539844640549,0.0,0.0,0.4296996409280003,1.1356251316927686,0.7343748683072318,0.7343748683072318
41.0,0.0,42.0,196.69,,0.0,0.0,0.6,0.0,0.00028080501950813856,0.0,0.0,0.9677719275253699,0.9746334177685669,0.6511950111999609,0.6511950111999609
42.0,0.0,43.0,199.01000000000002,,0.0,0.0,1.4,0.0,2.5837668366585984e-05,0.0,0.0,0.7570754341236589,0.7570754341236589,0.5284292471749822,0.5284292471749822
43.0,0.0,44.0,199.4,,0.0,0.0,0.0,0.0,2.3769212738756576e-06,0.0,0.0,0.9649470618938591,1.1005795980378263,0.8380680727970095,0.8380680727970095
44.0,0.0,45.0,202.24,,0.0,0.0,0.0,0.0,2.1866125977409784e-07,0.0,0.0,0.5929120216505145,1.1235926979222024,0.9664073020777976,0.9664073020777976
45.0,0.0,46.0,202.95,,0.0,0.0,0.0,0.0,2.0115403000955167e-08,0.0,0.0,0.4314225849931606,1.141381171132476,1.058618828867524,1.058618828867524
46.0,0.0,47.0,203.75,,0.0,0.0,0.0,0.0,1.8504997818531034e-09,0.0,0.0,0.2996624091226855,1.0988259875809188,1.1011740124190816,1.1011740124190814
47.0,0.0,48.0,205.21,,0.0,0.0,0.0,0.0,1.5859267953682297e-10,0.0,0.0,0.14415802999333857,0.633042749977224,0.597652807519815,0.597652807519815
48.0,0.0,49.0,211.21,,0.0,0.0,2.7,0.0,1.4476168816099529e-11,0.0,0.0,0.5555707562537573,0.5555707562537573,0.5468308793531451,0.5468308793531451
49.0,0.0,50.0,233.23,,0.0,0.0,21.2,0.0,1.4516492406116519e-12,0.0,0.0,0.6266090746612708,0.6266090746612708,0.7541601265936146,0.7541601265936146
