time_step_counter,season_counter,dap,Wr,z_gw,surface_storage,IrrDay,Infl,Runoff,DeepPerc,CR,GwIn,Es,EsPot,Tr,TrPot
0.0,0.0,1.0,63.08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9223537809004467,3.74,0.0,0.0
1.0,0.0,2.0,61.31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703616568708913,3.3000000000000003,0.0,0.0
2.0,0.0,3.0,59.980000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3300274259348617,3.19,0.0,0.0
3.0,0.0,4.0,58.65,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3275990973529077,3.9600000000000004,0.0,0.0
4.0,0.0,5.0,57.56,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0863545719718577,3.9600000000000004,0.0,0.0
5.0,0.0,6.0,56.79,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7740321885941913,3.3000000000000003,0.0,0.0
6.0,0.0,7.0,55.76,,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.2306987915473995,3.08,0.0,0.0
7.0,0.0,8.0,56.74,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2181611399036816,2.8600000000000003,0.0,0.0
8.0,0.0,9.0,64.43,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.114384656684353,3.4100000000000006,0.0,0.0
9.0,0.0,10.0,70.09,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9366680155680653,3.63,0.0,0.0
10.0,0.0,11.0,73.78999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028694423823987,3.3000000000000003,0.0,0.0
11.0,0.0,12.0,79.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6394623467200615,3.5200000000000005,0.0,0.0
12.0,0.0,13.0,83.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524682496120617,3.32248130740625,0.4175186925937501,0.4175186925937501
13.0,0.0,14.0,86.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45269649368286935,3.399499160813814,0.4505008391861863,0.4505008391861863
14.0,0.0,15.0,90.48,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772043377371773,2.4127473593039253,0.33725264069607497,0.3372526406960749
15.0,0.0,16.0,93.95,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3788653178933344,3.7386557409790617,0.5513442590209382,0.5513442590209382
16.0,0.0,17.0,97.41999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3355271004549621,3.9026516117283463,0.607348388271654,0.607348388271654
17.0,0.0,18.0,101.34,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14843421373521526,1.9840735284975726,0.3259264715024277,0.3259264715024277
18.0,0.0,19.0,105.16000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16994192210510636,2.343524152775571,0.40647584722442925,0.40647584722442925
19.0,0.0,20.0,109.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14933926730869726,2.1382919673620604,0.3917080326379396,0.3917080326379396
20.0,0.0,21.0,112.84,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149617214872566,2.2119163897563556,0.4280836102436442,0.4280836102436442
21.0,0.0,22.0,116.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15418063048271954,2.3743611640667495,0.4856388359332511,0.485638835933251
22.0,0.0,23.0,118.17999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14013132410811605,2.2610777563020883,0.4889222436979118,0.4889222436979118
23.0,0.0,24.0,122.06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10527572777737529,1.7905287354294348,0.4094712645705654,0.4094712645705654
24.0,0.0,25.0,135.62,,0.0,0.0,10.7,0.0,0.0,0.0,0.0,1.2399830527464342,1.2399830527464342,0.3000169472535658,0.3000169472535658
25.0,0.0,26.0,140.24,,0.0,0.0,4.4,0.0,0.0,0.0,0.0,1.5763157137110766,1.5763157137110766,0.40368428628892383,0.40368428628892383
26.0,0.0,27.0,143.23999999999998,,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.6395715577211238,2.076808777574257,0.5631912224257427,0.5631912224257427
27.0,0.0,28.0,166.14,,0.0,0.0,20.58966103971701,0.11033896028298928,0.0,0.0,0.0,1.623562437369734,1.623562437369734,0.4664375626302663,0.46643756263026626
28.0,0.0,29.0,162.88,,0.0,0.0,0.0,0.0,3.794802646594125,0.0,0.0,1.0118710304204357,1.0118710304204357,0.3081289695795644,0.3081289695795644
29.0,0.0,30.0,167.63,,0.0,0.0,3.4,0.0,1.1148546556586951,0.0,0.0,1.662962432002873,1.662962432002873,0.537037567997127,0.537037567997127
30.0,0.0,31.0,173.24,,0.0,0.0,5.599773480352696,0.000226519647303294,0.3774858492608585,0.0,0.0,1.3927403234084625,1.3927403234084625,0.47725967659153756,0.47725967659153756
31.0,0.0,32.0,172.95000000000002,,0.0,0.0,0.0,0.0,2.6377516741671645,0.0,0.0,1.3711279025844745,1.3711279025844745,0.4988720974155258,0.4988720974155258
32.0,0.0,33.0,175.34,,0.0,0.0,2.5,0.0,0.7970877849745239,0.0,0.0,1.1899927135976958,1.1899927135976958,0.46000728640230454,0.4600072864023045
