time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12
35.0,1.0,36.0,0.3736145435122332,0.22,0.22062100349749508,0.22339346999465412,0.2244364953695074,0.22446472189556166,0.22421781832268095,0.22390828728588547,0.22360313652444497,0.22332292556787298,0.2230721764789231,0.2224751186945652
36.0,1.0,37.0,0.21445293374106034,0.22301101334420087,0.22434414149078422,0.22351367166214253,0.22288021229790902,0.22244497623508627,0.2221304706885364,0.22208480135911152,0.22187314749953052,0.2216883151199245,0.22142844614739426,0.22115716257103435
37.0,1.0,38.0,0.19683919704002162,0.22027287336188234,0.22039105249997235,0.2203176232224071,0.22026119088007198,0.2202496246568014,0.22024461189231054,0.2202366779419735,0.2202302576067643,0.220223012005181,0.22021545811612583,0.22019398607217752
38.0,1.0,39.0,0.17997577926491198,0.22002506876072936,0.2200359048422653,0.22002917345726317,0.22002399688162302,0.2200229355472379,0.22002285388181184,0.2200227943714161,0.22002265028257514,0.22002246774767006,0.22002225034702147,0.22002162771754993
39.0,1.0,40.0,0.16275293618761327,0.22000230587709904,0.22000330242592495,0.22000268338131337,0.2200022072950926,0.22000210968186903,0.22000210217088023,0.22000210160022424,0.2200021009253164,0.2200020987863673,0.22000209524800268,0.2200020829002022
40.0,1.0,41.0,0.1511121910952611,0.2200002121232336,0.22000030379668584,0.22000024685030306,0.22000020305453416,0.22000019407494598,0.22000019338399826,0.2200001933315028,0.2200001933272911,0.22000019332020915,0.22000019329294535,0.2200001931542326
41.0,1.0,42.0,0.14092252170800793,0.220000019513933,0.22000002794727094,0.22000002270858957,0.22000001867967356,0.22000001785361165,0.220000017790049,0.22000001778521985,0.22000001778483244,0.22000001778480072,0.22000001778473247,0.22000001778395484
42.0,1.0,43.0,0.1420674748950215,0.2200000017951544,0.22000000257096616,0.22000000208904177,0.22000000171840786,0.22000000164241573,0.22000000163656822,0.22000000163612407,0.2200000016360885,0.2200000016360854,0.22000000163608524,0.22000000163608371
43.0,1.0,44.0,0.12403732354811291,0.22000000016514243,0.22000000023651217,0.22000000019217816,0.2200000001580823,0.2200000001510915,0.2200000001505536,0.2200000001505127,0.22000000015050936,0.2200000001505091,0.22000000015050913,0.22000000015050916
44.0,1.0,45.0,0.10844413031082994,0.2200000000151921,0.2200000000217576,0.22000000001767903,0.22000000001454262,0.22000000001389936,0.22000000001384998,0.22000000001384615,0.22000000001384584,0.22000000001384581,0.22000000001384584,0.22000000001384587
45.0,1.0,46.0,0.09354371617222323,0.2200000000013976,0.22000000000200146,0.2200000000016264,0.22000000000133785,0.22000000000127867,0.22000000000127407,0.22000000000127365,0.22000000000127373,0.22000000000127373,0.22000000000127373,0.22000000000127373
46.0,1.0,47.0,0.0905470920809965,0.2089882598759378,0.22000000000018408,0.22000000000014955,0.2200000000001231,0.22000000000011755,0.22000000000011719,0.22000000000011716,0.22000000000011716,0.22000000000011716,0.22000000000011716,0.22000000000011716
47.0,1.0,48.0,0.08910551178106316,0.20301173180073964,0.22000000000001693,0.22000000000001366,0.2200000000000114,0.22000000000001088,0.22000000000001074,0.22000000000001071,0.22000000000001071,0.22000000000001071,0.22000000000001071,0.22000000000001071
48.0,1.0,49.0,0.10508149542499413,0.20301173180073964,0.2200000000000016,0.22000000000000117,0.22000000000000114,0.220000000000001,0.22000000000000106,0.22000000000000103,0.22000000000000103,0.22000000000000103,0.22000000000000103,0.22000000000000103
49.0,1.0,50.0,0.3032738034124453,0.20301173180073964,0.2200000000000002,0.22000000000000017,0.22000000000000014,0.22,0.22000000000000006,0.22000000000000003,0.22000000000000003,0.22000000000000003,0.22000000000000003,0.22000000000000003
