,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24
0,0.34817458124274864,0.3630651641219524,0.33359783186933867,0.36693610876436233,0.3641696283514523,0.3760161259391517,0.38206944617025207,0.3571022036834923,0.3930473180682826,0.34616033188391426,0.3693770286757298,0.3801732054809443,0.3727975857786898,0.3920819490192653,0.3823257012863117,0.35037878021380947,0.3444934602220281,0.35421213473033025,0.3573383278866261,0.38715859458675544,0.36803878724895145,0.3630831338162633,0.3732725084610368,0.3730129842875527,0.38403900052607154
1,0.3229332633202581,0.33756663214113486,0.30883008759939135,0.3413036182378885,0.33872776173800334,0.3504344782647732,0.3565292848855973,0.3317122140685402,0.36733659755301157,0.32088465545708594,0.34403048963239174,0.3546103005295106,0.34691228482810765,0.3664297973482116,0.3569750106763363,0.32522711862093784,0.3194479485307221,0.3286449650417913,0.3321224893680714,0.36162947151601815,0.3425311646221401,0.33774836870016,0.34789421615841604,0.3474288941948527,0.3583432372533849
2,0.30155706111759495,0.3158820585107233,0.2878801804016119,0.319508805005279,0.3170563681438121,0.3286595914958403,0.33477907130873313,0.31016435878023646,0.34534425672944735,0.29946710424653267,0.3223657330222982,0.3327561581637184,0.3248349926017765,0.3445022673851743,0.3353377280476828,0.3038510175075659,0.29815528505424643,0.30675871347702366,0.3106773992343653,0.33983538510069017,0.3208515125639192,0.3162961975878889,0.3262505252899032,0.3256525558955295,0.3363796088562612
3,0.27885459494065384,0.29277952022836606,0.26565114443871085,0.296291554211297,0.2939398899799706,0.30544498892240673,0.3115823043456344,0.28724302470629565,0.3218106766283783,0.2767109657061266,0.2991962564925925,0.30938021214858596,0.30126220126882564,0.32105004766999046,0.3122226869265543,0.281088429109747,0.2754762982742072,0.283325303416291,0.2878297002446663,0.31654892082969877,0.29776430828733647,0.29351540656237035,0.3031424153094853,0.3024369047786196,0.31288967187179106
4,0.2591641024494847,0.2726919279670946,0.2463860929435439,0.2761058918366724,0.27382101930070196,0.2852489427469422,0.29139601247928704,0.26733748882359604,0.30127665743834514,0.2569672141468955,0.2789898676285989,0.2889907107144075,0.280729419702282,0.3005954246510293,0.2920810868311404,0.26130470748402895,0.255761802351449,0.26286962933609137,0.26796391355380345,0.29625497693902325,0.277696955272612,0.27375843964740143,0.2830163212544572,0.28224028565679427,0.29240270486737197
5,0.32872674909590294,0.3422545746135129,0.31584298320716764,0.3457532461492877,0.34338366594712016,0.3550033227500631,0.3611728651888461,0.33690013547001424,0.3710535101479043,0.32642410441051917,0.34855251427501716,0.3586380650270227,0.3502920663487002,0.37037227736058836,0.36185793954069956,0.3307615977476527,0.32521869261507275,0.3318794531568923,0.33752656020022176,0.36603182964858233,0.3474081800952958,0.3435128196505223,0.352727546077141,0.3519515104794781,0.36211392969005585
6,0.3145492040971995,0.32806357941484815,0.301700535766958,0.33159065572454194,0.3292082038491564,0.34066430245204493,0.3469934009892445,0.3226277761990729,0.35670139813041657,0.3120966712775524,0.3344184284458785,0.3443906691279186,0.3359143823174236,0.35600201788367236,0.3475102366960656,0.31664716054026193,0.3108824689203894,0.31752483641734697,0.32323995750630113,0.3517478578789028,0.33318523706579234,0.3291463857198485,0.3383667981816638,0.33778538264805086,0.3478980280963357
7,0.28816639694519974,0.3014999484672307,0.2755106860448403,0.305038870795557,0.3026401682233478,0.3138429298791394,0.3203990603806916,0.29602504949478053,0.32971025482607924,0.28547891171303896,0.30784675531561617,0.31760170958917544,0.30891971081349373,0.32901338264618296,0.3206622006978919,0.29028901098690973,0.2842257811415923,0.2905557854577745,0.29660581501589145,0.3249481996341737,0.3065864093920475,0.3024691176627093,0.31151341143842803,0.3112134294269982,0.32112703679264765
8,0.2565279744070555,0.26944401989095196,0.2442629359520361,0.2729413263879299,0.2705341489979161,0.2815202347039129,0.2882370736805988,0.26407540137456315,0.2969910209334002,0.25363710818588725,0.27562671100228475,0.2851205463022807,0.27626148629431496,0.29635040575861565,0.28829544504100296,0.25855630076180297,0.25230980570873995,0.25789967994835905,0.26461506622185205,0.2925329708496761,0.2745222242077713,0.270582511735703,0.2791681937724531,0.2790740674394321,0.2886108932910402
9,0.234098686368453,0.2472902471283625,0.22218789793099905,0.25073023038286935,0.24832263206376046,0.25919673281634714,0.2659725581096282,0.2420722083587078,0.2742892117019505,0.23110061421018888,0.25327940291014867,0.2625866630182137,0.25296592849752286,0.27371511539788534,0.2659342869099702,0.23599958155117334,0.22970718978116134,0.2345908247588932,0.24258098947602533,0.2700846015647383,0.2523789416460436,0.24869690376472814,0.25683662888324876,0.25682416734310215,0.26602361004233727
10,0.4651064021523953,0.47510627879673323,0.4581066091370256,0.4781061969252015,0.47710633311617945,0.47510574074836176,0.46410541244590964,0.469106269713193,0.48910545495809593,0.4681065329015867,0.48410634255865076,0.4891060006526362,0.49310637797272566,0.48110535045352765,0.469105427931559,0.46910654462673246,0.46910670209161315,0.48910713516601334,0.471106305516193,0.47310536364803873,0.4711059769118032,0.4581056412213568,0.4741059069302923,0.47610594873180395,0.4921059114359801
